Column Header,Description,Example,Data type
``DateTime_UTC``,Timestamp,``8/1/2019  1:00:00 PM``,``datetime64[ns]``
``PM25_Value``,Parameter value,``9``,``float64``
``PM25_Unit``,Parameter units,``Micrograms/cubic meter (LC)``,``object``
``PM25_QAQC_Code``,Parameter QC code,``V - Validated Value.``,``float64``
``PM25_Param_Code``,Parameter AQS code,``88101``,``float64``
``PM25_Method``,Parameter Method (Instrument),``Met One BAM-1022 PM2.5 w/ VSCC or TE-PM2.5C FEM``,``object``
``PM25_Method_Code``,Parameter Method AQS Code,``209``,``float64``
``PM25_Method_POC``,Parameter Occurance Code,``3``,``float64``
``Agency``,Reporting agency overseeing site,``North Carolina Dept Of Environmental Quality``,``object``
``Site_Name``,Name of monitoring site,``Triple Oak``,``object``
``Site_AQS``,"Site AQS ID (combine state, county, site FIPS codes)",``37-183-0021``,``object``
``Site_Lat``,Site Latitude,``35.8652``,``float64``
``Site_Lon``,Site Longitude,``-78.8197``,``float64``
``Data_Source``,Name of API data source,``AQS API``,``object``
``Data_Acquisition_Date_Time``,"Date and Time of data query, acquisition",``5/18/2021  8:44:00 AM``,``object``
